"","follow","birthyr","turnout12","vote12","meet","march","compromise","ftobama","ftblack","ftwhite","fthisp","ftgay","fttrump","fthrc","ftsanders","ftpolice","ftfem","ftmuslim","ftsci","econnow","lcself","disc_b","disc_h","disc_g","disc_w","disc_m","disc_fed","disc_police","immig_numb","terror_worry","healthspend","finwell","warmcause","freetrade","stopblack","stop_ever","birthright_b","bo_muslim","amer_ident","marstat","employ","educ","gender","race","pid3","pid7","ideo5","pew_churatd","faminc","weight","dpolice.new"
"480","Most of the time",1968,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",63,79,69,63,73,71,70,30,63,62,41,66,"3","Somewhat conservative","A lot","A moderate amount","A moderate amount","A little","A little","Treats whites much better","Treats whites much better","Increased a little","Very worried","Increase a great deal","A little better","Mostly by natural causes","Favor a little","Somewhat often","Not asked","Favor moderately","Not a Muslim","Extremely important","Widowed","Full-time","Some college","Female","White","Democrat","Strong Democrat","Conservative","Once a week",3,1.204119971,"Treats whites much better"
"481","Most of the time",1957,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",20,50,50,95,50,60,16,50,95,45,60,70,"3","Somewhat conservative","A little","A little","A little","None at all","None at all","Treats both the same","Treats whites a little better","Kept the same","Slightly worried","No Change","A little worse","About equally by human activity and natural causes","Oppose a little","Sometimes","Has happened","Not asked","Not a Muslim","Very important","Married","Full-time","High school graduate","Male","Hispanic","Republican","Weak Republican","Conservative","Seldom",12,0.753101415,"Treats whites a little better"
"482","Only now and then",1959,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",98,94,78,84,67,54,85,87,91,76,84,79,"3","Closer to conservatives","A lot","A moderate amount","A lot","A moderate amount","A moderate amount","Treats whites a little better","Treats both the same","Kept the same","Moderately worried","Increase a little","A little better","About equally by human activity and natural causes","Favor a little","Sometimes","Never happened","Favor a great deal","Not a Muslim","Moderately important","Divorced","Retired","4-year","Female","Black","Democrat","Weak Democrat","Moderate","Once a week",5,1.211632992,"Treats both the same"
"483","Most of the time",1955,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,50,100,50,50,80,0,15,60,50,40,60,"4","Somewhat conservative","A little","A little","A moderate amount","A little","None at all","Treats blacks a little better","Treats whites moderately better","Kept the same","Not asked","No Change","The same as 20 years ago","Mostly by natural causes","Favor a little","Somewhat often","Has happened","Oppose moderately","Muslim","Extremely important","Widowed","Permanently disabled","High school graduate","Female","White","Republican","Weak Republican","Conservative","More than once a week",2,0.839315286,"Treats whites moderately better"
"484","Most of the time",1949,"Definitely voted","Barack Obama","A little likely","Have done this in past 4 years","Compromies to get things done",100,81,90,71,99,6,99,98,87,96,79,100,"1","Very liberal","A lot","A moderate amount","A lot","A little","A little","Treats whites much better","Treats whites much better","Increased a little","Moderately worried","Increase a great deal","Moderately worse","About equally by human activity and natural causes","Oppose a little","Somewhat often","Not asked","Not asked","Not a Muslim","Very important","Divorced","Part-time","High school graduate","Male","White","Democrat","Strong Democrat","Liberal","Never",3,0.795895065,"Treats whites much better"
"485","Most of the time",1962,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",1,100,100,100,50,30,1,1,50,25,50,100,"3","Very conservative","A little","A little","A little","A little","A little","Treats blacks a little better","Treats whites a little better","Kept the same","Slightly worried","Decrease a great deal","A little better","Mostly by natural causes","Oppose moderately","Sometimes","Not asked","Not asked","Not a Muslim","Very important","Divorced","Full-time","4-year","Male","Native American","Indepent","Lean Republican","Very conservative","Once or twice a month",10,1.898872183,"Treats whites a little better"
"486","Most of the time",1951,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",90,96,97,95,2,97,51,86,89,50,95,70,"2","Neither liberal nor conservative","A moderate amount","A little","A lot","A little","A little","Treats whites moderately better","Treats whites a little better","Kept the same","Not asked","No Change","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Not asked","Favor moderately","Not a Muslim","Extremely important","Married","Retired","High school graduate","Male","White","Democrat","Strong Democrat","Moderate","Once a week",6,0.676722337,"Treats whites a little better"
"487","Only now and then",1953,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",19,41,86,34,58,49,18,9,61,40,26,83,"2","Somewhat conservative","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Kept the same","Moderately worried","Decrease a little","Moderately better","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Not asked","Neither favor or oppose","Not a Muslim","Extremely important","Married","Part-time","Some college","Female","White","Republican","Weak Republican","Conservative","A few times a year",8,0.986348755,"Treats both the same"
"488","Some of the Time",1959,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",6,50,59,21,41,89,5,9,53,32,10,28,"5","Closer to conservatives","A lot","A lot","A lot","A moderate amount","A little","Treats whites much better","Treats whites moderately better","Decreased a moderate amount","Very worried","Decrease moderately","Moderately worse","Mostly by natural causes","Neither favor nor oppose","Somewhat often","Never happened","Not asked","Muslim","A little important","Married","Retired","Some college","Female","Asian","Republican","Weak Republican","Moderate","Seldom",97,0.739042966,"Treats whites moderately better"
"489","Some of the Time",1973,"Probably did not vote","Not asked","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",70,75,88,74,2,50,95,51,72,50,6,78,"3","Very conservative","A great deal","A moderate amount","A great deal","None at all","None at all","Treats whites much better","Treats whites much better","Decreased a lot","Very worried","Incrase moderately","A little worse","About equally by human activity and natural causes","Favor moderately","Very often","Not asked","Not asked","Not a Muslim","Moderately important","Single","Part-time","Some college","Female","Black","Democrat","Weak Democrat","Moderate","Once a week",1,3.276165803,"Treats whites much better"
"490","Some of the Time",1945,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",15,63,70,49,51,90,81,73,88,50,10,92,"5","Closer to conservatives","A lot","A lot","A lot","A moderate amount","A moderate amount","Treats whites a little better","Treats whites a little better","Increased a little","Not asked","Increase a great deal","A little worse","Mostly by human activity","Neither favor nor oppose","Very often","Not asked","Not asked","Muslim","Very important","Divorced","Retired","High school graduate","Female","White","Democrat","Weak Democrat","Moderate","Once a week",2,0.527683464,"Treats whites a little better"
"491","Only now and then",1959,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",0,34,100,55,30,88,19,62,95,67,34,81,"4","Somewhat conservative","A moderate amount","A moderate amount","A lot","A moderate amount","None at all","Treats blacks a little better","Treats both the same","Increased a little","Not asked","Increase a little","A little worse","About equally by human activity and natural causes","Favor a little","Sometimes","Not asked","Not asked","Muslim","Extremely important","Divorced","Full-time","Post-grad","Female","White","Republican","Strong Republican","Moderate","Once a week",6,1.096906671,"Treats both the same"
"492","Most of the time",1985,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Sticks to his or her principles",89,51,50,50,91,1,60,94,53,100,50,77,"2","Very liberal","A great deal","A great deal","A great deal","None at all","None at all","Treats whites moderately better","Treats whites moderately better","Decreased a little","Slightly worried","Incrase moderately","A great deal worse","Mostly by human activity","Opposed a great deal","Very often","Has happened","Favor moderately","Not a Muslim","A little important","Domestic Partnership","Permanently disabled","4-year","Female","White","Democrat","Strong Democrat","Very liberal","Never",5,0.306891182,"Treats whites moderately better"
"493","Most of the time",1938,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",100,81,86,70,50,10,91,51,60,67,61,70,"3","Very liberal","A moderate amount","A moderate amount","A moderate amount","A little","A moderate amount","Treats whites moderately better","Treats whites much better","Kept the same","Not asked","Incrase moderately","A little better","Mostly by human activity","Favor moderately","Somewhat often","Never happened","Not asked","Not a Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Democrat","Strong Democrat","Very liberal","Seldom",6,0.247985977,"Treats whites much better"
"494","Most of the time",1958,"Definitely voted","Barack Obama","Extremely Likely","Have not done this in past 4 years","Compromies to get things done",100,85,85,88,50,34,98,85,70,60,81,100,"4","Closer to liberals","A great deal","A great deal","A little","A moderate amount","None at all","Treats whites much better","Treats whites much better","Decreased a little","Slightly worried","Increase a great deal","A great deal worse","Mostly by human activity","Favor a little","Very often","Has happened","Oppose a great deal","Not a Muslim","Extremely important","Married","Full-time","4-year","Male","Black","Indepent","Lean Republican","Moderate","More than once a week",9,1.059940581,"Treats whites much better"
"495","Some of the Time",1956,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Compromies to get things done",69,69,56,69,60,14,64,87,62,61,72,63,"2","Very liberal","A lot","A lot","A lot","None at all","None at all","Treats whites much better","Treats whites much better","Increased a moderate amount","Not asked","Increase a great deal","A great deal worse","Mostly by human activity","Neither favor nor oppose","Somewhat often","Not asked","Not asked","Muslim","Moderately important","Married","Full-time","4-year","Female","White","Democrat","Strong Democrat","Very liberal","Never",4,0.332685256,"Treats whites much better"
"496","Only now and then",1982,"Probably did not vote","Not asked","A little likely","Have not done this in past 4 years","Compromies to get things done",57,77,86,44,88,31,53,56,87,29,59,68,"3","Closer to liberals","A moderate amount","A moderate amount","A lot","A little","None at all","Treats whites a little better","Treats whites a little better","Kept the same","Slightly worried","Decrease a little","Moderately better","About equally by human activity and natural causes","Favor a little","Sometimes","Not asked","Favor moderately","Not a Muslim","Extremely important","Married","Full-time","2-year","Female","White","Democrat","Weak Democrat","Moderate","A few times a year",9,3.025031959,"Treats whites a little better"
"497","Most of the time",1977,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",100,84,30,30,50,0,64,0,2,50,21,88,"1","Neither liberal nor conservative","A great deal","A great deal","A great deal","None at all","None at all","Treats whites moderately better","Treats whites much better","Kept the same","Not asked","Incrase moderately","A great deal better","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Muslim","Not important at all","Married","Full-time","2-year","Female","Black","Democrat","Strong Democrat","Moderate","Seldom",8,1.04498392,"Treats whites much better"
"498","Most of the time",1960,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",98,72,72,89,100,22,75,70,81,97,2,97,"1","Very liberal","A lot","A great deal","A moderate amount","None at all","None at all","Treats whites a little better","Treats whites a little better","Decreased a moderate amount","Very worried","No Change","Moderately better","Mostly by human activity","Opposed a great deal","Sometimes","Has happened","Favor a great deal","Not a Muslim","Extremely important","Married","Retired","2-year","Male","Native American","Democrat","Strong Democrat","Very liberal","Seldom",7,0.892379061,"Treats whites a little better"
"499","Most of the time",1964,"Definitely voted","Mitt Romney","Extremely Likely","Have done this in past 4 years","Sticks to his or her principles",0,100,100,100,15,60,0,0,91,10,50,80,"3","Very conservative","A little","A little","A little","A little","A little","Treats both the same","Treats both the same","Kept the same","Very worried","No Change","Moderately worse","Mostly by natural causes","Favor moderately","Sometimes","Not asked","Not asked","Muslim","Moderately important","Single","Full-time","4-year","Female","White","Other","Lean Republican","Very conservative","Once a week",2,0.332685256,"Treats both the same"
"500","Most of the time",1938,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Compromies to get things done",3,30,100,70,100,0,100,90,100,100,1,100,"2","Closer to liberals","A lot","A moderate amount","A moderate amount","None at all","A moderate amount","Treats whites much better","Treats whites much better","Kept the same","Not asked","Incrase moderately","Moderately better","About equally by human activity and natural causes","Neither favor nor oppose","Very often","Never happened","Not asked","Muslim","Extremely important","Widowed","Part-time","Some college","Female","Hispanic","Republican","Weak Republican","Moderate","Once a week",4,2.306310067,"Treats whites much better"
"501","Most of the time",1949,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",94,94,44,93,13,19,94,86,60,45,48,83,"1","Neither liberal nor conservative","A great deal","A lot","A lot","None at all","A little","Treats both the same","Treats whites much better","Kept the same","Very worried","Increase a great deal","Moderately better","Mostly by human activity","Favor a little","Very often","Has happened","Neither favor or oppose","Not a Muslim","Extremely important","Divorced","Retired","Post-grad","Male","Black","Democrat","Strong Democrat","Moderate","A few times a year",11,3.31698396,"Treats whites much better"
"502","Most of the time",1962,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",3,80,97,49,97,94,49,71,100,30,1,100,"5","Neither liberal nor conservative","A lot","A great deal","A lot","A moderate amount","None at all","Treats both the same","Treats both the same","Decreased a moderate amount","Extremely worried","Increase a little","Moderately better","Mostly by human activity","Favor a great deal","Sometimes","Never happened","Oppose a little","Muslim","Extremely important","Single","Full-time","High school graduate","Female","White","Republican","Weak Republican","Moderate","A few times a year",2,3.309718164,"Treats both the same"
"503","Some of the Time",1980,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",68,97,96,97,97,19,68,85,92,88,94,93,"2","Somewhat liberal","A great deal","A lot","None at all","A little","A lot","Treats both the same","Treats both the same","Decreased a moderate amount","Extremely worried","Increase a little","Moderately better","Mostly by human activity","Neither favor nor oppose","Somewhat often","Has happened","Not asked","Not a Muslim","Extremely important","Single","Part-time","No HS","Male","Black","Democrat","Weak Democrat","Liberal","Seldom",2,1.173588019,"Treats both the same"
"504","Only now and then",1974,"Probably did not vote","Not asked","A little likely","Have not done this in past 4 years","Compromies to get things done",50,56,60,55,95,94,71,2,41,69,16,88,"2","Neither liberal nor conservative","A moderate amount","A little","A moderate amount","A little","None at all","Treats both the same","Treats whites a little better","Decreased a lot","Very worried","Decrease moderately","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Muslim","Extremely important","Married","Part-time","High school graduate","Female","Native American","Indepent","Independent","Conservative","Never",5,0.944148049,"Treats whites a little better"
"505","Most of the time",1948,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",1,50,50,50,50,65,1,1,95,20,40,55,"3","Somewhat conservative","A moderate amount","A moderate amount","A moderate amount","A lot","A moderate amount","Treats both the same","Treats both the same","Kept the same","Moderately worried","Decrease moderately","Moderately better","Mostly by natural causes","Opposed a great deal","Somewhat often","Not asked","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Male","White","Republican","Weak Republican","Conservative","Seldom",4,0.951583584,"Treats both the same"
"506","Most of the time",1946,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",2,20,60,53,20,99,2,2,93,2,2,23,"4","Very conservative","A little","A little","A moderate amount","A great deal","A little","Treats Blacks much better","Treats whites a little better","Decreased a lot","Very worried","Decrease a great deal","A great deal worse","Mostly by natural causes","Opposed a great deal","Somewhat often","Not asked","Oppose a great deal","Muslim","Extremely important","Divorced","Retired","High school graduate","Female","White","Other","Lean Republican","Very conservative","Seldom",2,0.247985977,"Treats whites a little better"
"507","Most of the time",1933,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",87,60,83,61,50,87,72,41,79,63,58,75,"2","Somewhat conservative","A moderate amount","A moderate amount","A great deal","A little","A little","Treats both the same","Treats whites a little better","Kept the same","Not asked","Incrase moderately","A great deal worse","About equally by human activity and natural causes","Neither favor nor oppose","Very often","Not asked","Favor moderately","Not a Muslim","Extremely important","Single","Retired","High school graduate","Female","White","Democrat","Weak Democrat","Conservative","More than once a week",2,1.038475753,"Treats whites a little better"
"508","Most of the time",1959,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,0,51,0,0,7,0,0,2,0,0,0,"5","Very conservative","None at all","None at all","None at all","A great deal","A lot","Treats Blacks much better","Treats Blacks much better","Decreased a lot","Not asked","Decrease a great deal","A great deal worse","Mostly by natural causes","Opposed a great deal","Very often","Has happened","Oppose a great deal","Muslim","Not important at all","Divorced","Full-time","Some college","Male","White","Other","Independent","Not sure","Never",1,0.394840502,NA
"509","Most of the time",1949,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",4,3,62,58,0,40,2,4,77,16,30,51,"4","Very conservative","None at all","A little","None at all","A lot","A moderate amount","Treats Blacks much better","Treats Blacks much better","Decreased a little","Moderately worried","Incrase moderately","A little better","Mostly by natural causes","Oppose moderately","Rarely","Has happened","Oppose a little","Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Republican","Strong Republican","Very conservative","More than once a week",97,0.232020219,NA
"510","Most of the time",1964,"Definitely voted","Someone Else","Extremely Likely","Have not done this in past 4 years","Sticks to his or her principles",0,100,70,90,51,6,0,6,91,6,50,50,"5","Very conservative","A little","None at all","A little","A little","None at all","Treats Blacks much better","Treats both the same","Increased a moderate amount","Moderately worried","Decrease a great deal","A great deal better","Mostly by natural causes","Neither favor nor oppose","Rarely","Has happened","Neither favor or oppose","Muslim","Extremely important","Married","Unemployed","2-year","Male","White","Other","Independent","Very conservative","Once a week",1,0.394840502,"Treats both the same"
"511","Most of the time",1959,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",7,51,74,55,49,44,0,12,98,30,37,76,"3","Somewhat conservative","A little","A little","A little","A little","A little","Treats blacks a little better","Treats both the same","Kept the same","Not asked","Decrease moderately","A little worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Not a Muslim","Very important","Married","Full-time","High school graduate","Male","White","Republican","Weak Republican","Conservative","A few times a year",9,1.331782758,"Treats both the same"
"512","Some of the Time",1952,"Definitely voted","Someone Else","Not at all likely","Have not done this in past 4 years","Compromies to get things done",2,48,50,50,30,86,0,1,90,50,3,81,"3","Very conservative","A little","A little","A lot","A little","A moderate amount","Treats blacks moderately better","Treats whites moderately better","Decreased a moderate amount","Extremely worried","No Change","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Oppose a great deal","Muslim","Moderately important","Widowed","Permanently disabled","High school graduate","Male","White","Republican","Strong Republican","Very conservative","Seldom",4,0.318027116,"Treats whites moderately better"
"513","Most of the time",1954,"Definitely voted","Barack Obama","Extremely Likely","Have done this in past 4 years","Compromies to get things done",71,85,20,95,50,0,35,40,60,70,55,100,"1","Somewhat liberal","A great deal","A lot","A lot","None at all","A moderate amount","Treats both the same","Treats whites much better","Increased a moderate amount","Not at all worried","Increase a great deal","A great deal worse","Mostly by human activity","Oppose a little","Somewhat often","Not asked","Favor a great deal","Not a Muslim","Extremely important","Widowed","Full-time","Post-grad","Male","White","Democrat","Strong Democrat","Very liberal","A few times a year",13,0.264395143,"Treats whites much better"
"514","Most of the time",1953,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",30,79,66,81,90,86,0,80,100,60,84,71,"4","Closer to liberals","A lot","A lot","A moderate amount","A lot","A moderate amount","Treats whites a little better","Treats both the same","Decreased a lot","Extremely worried","Incrase moderately","A great deal worse","Mostly by human activity","Favor a little","Very often","Has happened","Oppose moderately","Not a Muslim","Very important","Divorced","Part-time","High school graduate","Female","White","Other","Weak Democrat","Moderate","Never",2,0.307754754,"Treats both the same"
"515","Some of the Time",1959,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",37,52,100,50,28,0,84,19,96,33,0,75,"2","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Decreased a lot","Not asked","Decrease a great deal","A great deal worse","Mostly by natural causes","Favor a little","Sometimes","Has happened","Not asked","Not a Muslim","Extremely important","Married","Full-time","Some college","Male","White","Democrat","Strong Democrat","Conservative","Never",5,1.354414746,"Treats both the same"
"516","Most of the time",1942,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",4,74,77,73,24,91,5,28,94,5,15,91,"4","Very conservative","A moderate amount","A moderate amount","A moderate amount","A little","None at all","Treats blacks a little better","Treats whites moderately better","Increased a moderate amount","Very worried","Decrease a little","A little worse","About equally by human activity and natural causes","Oppose a little","Somewhat often","Not asked","Oppose a great deal","Muslim","Extremely important","Married","Retired","Post-grad","Female","White","Republican","Weak Republican","Conservative","Once a week",10,1.005532487,"Treats whites moderately better"
"517","Most of the time",1953,"Definitely voted","Mitt Romney","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",0,95,89,90,5,100,2,3,100,10,40,50,"5","Somewhat conservative","A little","A little","A little","A little","A little","Treats blacks moderately better","Treats blacks a little better","Decreased a lot","Extremely worried","Decrease a great deal","Moderately worse","About equally by human activity and natural causes","Opposed a great deal","Sometimes","Not asked","Not asked","Muslim","Extremely important","Married","Full-time","Some college","Male","White","Indepent","Independent","Very conservative","More than once a week",6,0.394840502,NA
"518","Most of the time",1955,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",100,100,100,100,51,0,100,86,86,100,99,100,"1","Very liberal","A great deal","A moderate amount","A moderate amount","None at all","None at all","Treats both the same","Treats both the same","Kept the same","Not at all worried","Increase a great deal","A little worse","Mostly by human activity","Opposed a great deal","Somewhat often","Not asked","Not asked","Not a Muslim","A little important","Married","Permanently disabled","High school graduate","Male","White","Democrat","Strong Democrat","Liberal","Never",97,0.676722337,"Treats both the same"
"519","Most of the time",1953,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",0,89,60,70,0,95,0,0,75,0,0,50,"5","Very conservative","A little","A little","A little","A lot","A little","Treats blacks moderately better","Treats both the same","Decreased a lot","Extremely worried","Decrease a great deal","A great deal worse","Mostly by natural causes","Opposed a great deal","Sometimes","Has happened","Not asked","Muslim","Extremely important","Domestic Partnership","Permanently disabled","High school graduate","Male","White","Indepent","Independent","Very conservative","Seldom",8,0.318027116,"Treats both the same"
"520","Most of the time",1940,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",98,99,100,99,98,7,99,71,66,100,99,99,"1","Very liberal","A great deal","A lot","A lot","A little","None at all","Treats whites a little better","Treats whites much better","Kept the same","Moderately worried","Increase a great deal","A great deal better","Mostly by human activity","Favor moderately","Very often","Not asked","Favor a great deal","Not a Muslim","Extremely important","Married","Retired","No HS","Female","White","Democrat","Strong Democrat","Very liberal","Seldom",3,0.632524586,"Treats whites much better"
"521","Most of the time",1963,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Sticks to his or her principles",59,88,84,89,51,93,88,84,89,88,88,87,"3","Somewhat liberal","A moderate amount","A lot","A moderate amount","A little","A little","Treats whites a little better","Treats whites a little better","Increased a little","Not asked","Increase a little","A little better","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Neither favor or oppose","Not a Muslim","Moderately important","Married","Full-time","4-year","Female","Black","Democrat","Weak Democrat","Liberal","Once a week",8,0.945359709,"Treats whites a little better"
"522","Most of the time",1968,"Definitely voted","Mitt Romney","Extremely Likely","Have done this in past 4 years","Sticks to his or her principles",0,90,80,80,16,51,0,6,95,3,6,32,"3","Very conservative","None at all","None at all","A little","A lot","A lot","Treats Blacks much better","Treats both the same","Decreased a moderate amount","Extremely worried","Decrease moderately","Moderately worse","Mostly by natural causes","Opposed a great deal","Somewhat often","Has happened","Oppose a great deal","Not a Muslim","Extremely important","Married","Full-time","4-year","Female","Asian","Other","Independent","Very conservative","More than once a week",10,0.270987542,"Treats both the same"
"523","Some of the Time",1983,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",100,83,70,100,100,3,90,100,41,100,100,100,"3","Very liberal","A moderate amount","A moderate amount","A lot","None at all","None at all","Treats whites a little better","Treats whites a little better","Kept the same","Moderately worried","Incrase moderately","Moderately worse","Mostly by human activity","Neither favor nor oppose","Somewhat often","Has happened","Favor a little","Not a Muslim","Not important at all","Domestic Partnership","Full-time","2-year","Female","White","Democrat","Strong Democrat","Very liberal","Never",1,0.281283154,"Treats whites a little better"
"524","Most of the time",1946,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",86,50,50,50,69,18,99,75,68,68,78,88,"3","Very liberal","A lot","A moderate amount","A lot","A little","A little","Treats whites a little better","Treats whites moderately better","Kept the same","Not asked","Increase a great deal","A little worse","Mostly by human activity","Favor moderately","Very often","Has happened","Favor a great deal","Not a Muslim","Extremely important","Widowed","Retired","High school graduate","Female","White","Democrat","Strong Democrat","Liberal","Seldom",3,0.527683464,"Treats whites moderately better"
"525","Some of the Time",1949,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",19,50,50,49,51,70,16,62,70,56,41,81,"3","Somewhat conservative","None at all","None at all","A little","None at all","None at all","Treats both the same","Treats both the same","Kept the same","Extremely worried","No Change","A great deal better","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Oppose a great deal","Not a Muslim","Very important","Married","Retired","4-year","Female","Asian","Indepent","Weak Republican","Moderate","Once a week",10,1.142013468,"Treats both the same"
"526","Most of the time",1964,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",13,50,50,50,50,100,0,40,100,30,39,59,"4","Somewhat conservative","A little","A little","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats whites a little better","Kept the same","Moderately worried","Decrease moderately","A little worse","Mostly by natural causes","Neither favor nor oppose","Sometimes","Has happened","Neither favor or oppose","Not a Muslim","Extremely important","Married","Part-time","4-year","Female","White","Republican","Strong Republican","Conservative","A few times a year",12,1.36444069,"Treats whites a little better"
"527","Only now and then",1945,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",61,100,100,100,100,0,0,32,61,100,100,100,"5","Neither liberal nor conservative","A lot","A lot","A lot","A lot","A lot","Treats whites much better","Treats whites much better","Increased a lot","Slightly worried","No Change","A little worse","About equally by human activity and natural causes","Favor a great deal","Somewhat often","Has happened","Favor a great deal","Not a Muslim","A little important","Divorced","Full-time","Some college","Male","White","Other","Independent","Moderate","Never",7,0.327673748,"Treats whites much better"
"528","Most of the time",1936,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",1,78,78,62,61,78,1,51,91,83,45,62,"4","Somewhat conservative","A moderate amount","A moderate amount","A little","A lot","None at all","Treats blacks moderately better","Treats whites a little better","Kept the same","Not asked","No Change","Moderately better","About equally by human activity and natural causes","Oppose a little","Rarely","Not asked","Oppose a little","Muslim","Very important","Widowed","Permanently disabled","High school graduate","Female","White","Indepent","Independent","Conservative","Seldom",3,0.850662136,"Treats whites a little better"
"529","Some of the Time",1972,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",95,52,100,91,100,5,71,52,100,51,73,60,"3","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Kept the same","Not asked","Increase a great deal","The same as 20 years ago","About equally by human activity and natural causes","Neither favor nor oppose","Very often","Not asked","Neither favor or oppose","Not a Muslim","Extremely important","Divorced","Unemployed","High school graduate","Female","White","Democrat","Strong Democrat","Moderate","Never",97,1.220975527,"Treats both the same"
"530","Some of the Time",1988,"Probably did not vote","Not asked","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",34,85,58,60,84,3,51,36,28,87,27,57,"2","Closer to liberals","A moderate amount","A moderate amount","A little","A moderate amount","A moderate amount","Treats whites a little better","Treats both the same","Kept the same","Not asked","Decrease a little","A little worse","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Never happened","Not asked","Not a Muslim","Very important","Single","Full-time","High school graduate","Male","White","Indepent","Not sure","Liberal","Once a week",4,4.202330446,"Treats both the same"
